time, Quad.Est.E.Yaw, Quad.Est.E.Pitch, Quad.Est.E.Roll
1.435011,-0.000316,-0.001188,-0.005550
1.440011,-0.000295,-0.001190,-0.005680
1.445011,-0.000272,-0.001219,-0.005867
1.450012,-0.000254,-0.001233,-0.005986
1.455012,-0.000217,-0.001228,-0.006152
1.460012,-0.000188,-0.001213,-0.006258
1.465012,-0.000138,-0.001177,-0.006391
1.470013,-0.000102,-0.001140,-0.006456
1.475013,-0.000049,-0.001079,-0.006548
1.480013,-0.000018,-0.001041,-0.006607
1.485013,0.000025,-0.000994,-0.006676
1.490014,0.000054,-0.000953,-0.006710
1.495014,0.000099,-0.000872,-0.006703
1.500014,0.000127,-0.000810,-0.006677
1.505014,0.000165,-0.000718,-0.006627
1.510015,0.000187,-0.000666,-0.006584
1.515015,0.000213,-0.000619,-0.006509
1.520015,0.000229,-0.000590,-0.006455
1.525015,0.000248,-0.000560,-0.006342
1.530015,0.000259,-0.000558,-0.006279
1.535016,0.000274,-0.000539,-0.006185
1.540016,0.000281,-0.000502,-0.006106
1.545016,0.000289,-0.000437,-0.005958
1.550016,0.000293,-0.000391,-0.005831
1.555017,0.000296,-0.000324,-0.005602
1.560017,0.000294,-0.000271,-0.005439
1.565017,0.000288,-0.000213,-0.005189
1.570017,0.000280,-0.000165,-0.004997
1.575018,0.000264,-0.000091,-0.004701
1.580018,0.000253,-0.000048,-0.004505
1.585018,0.000236,0.000012,-0.004236
1.590018,0.000227,0.000042,-0.004070
1.595019,0.000213,0.000083,-0.003835
1.600019,0.000199,0.000125,-0.003667
1.605019,0.000179,0.000183,-0.003390
1.610019,0.000160,0.000242,-0.003207
1.615019,0.000133,0.000317,-0.002923
1.620020,0.000119,0.000353,-0.002746
1.625020,0.000094,0.000416,-0.002443
1.630020,0.000073,0.000468,-0.002237
1.635020,0.000034,0.000563,-0.001960
1.640021,0.000008,0.000625,-0.001779
1.645021,-0.000018,0.000676,-0.001481
1.650021,-0.000028,0.000686,-0.001283
1.655021,-0.000043,0.000712,-0.000985
1.660022,-0.000050,0.000721,-0.000766
1.665022,-0.000049,0.000713,-0.000442
1.670022,-0.000051,0.000714,-0.000219
1.675022,-0.000048,0.000701,0.000100
1.680022,-0.000042,0.000685,0.000292
1.685023,-0.000029,0.000643,0.000525
1.690023,-0.000015,0.000605,0.000664
1.695023,-0.000006,0.000574,0.000878
1.700023,-0.000004,0.000571,0.001011
1.705024,-0.000004,0.000574,0.001207
